Cluster,RPT_DT,OFNS_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BOROUGH,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,ZIPCODE
4,11/11/2019,HARRASSMENT 2,COMPLETED,VIOLATION,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11368
4,07/30/2019,HARRASSMENT 2,COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11225
1,11/02/2017,GRAND LARCENY,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11221
5,08/25/2007,CRIMINAL TRESPASS,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,10032
3,12/21/2011,PETIT LARCENY,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE - PUBLIC HOUSING,11236
1,03/27/2016,THEFT-FRAUD,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11230
0,07/19/2014,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11233
2,10/12/2012,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11236
0,04/05/2010,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11420
5,10/19/2012,DANGEROUS DRUGS,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,10029
4,01/04/2006,HARRASSMENT 2,COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11220
1,12/11/2011,GRAND LARCENY,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11216
5,07/12/2016,NYS LAWS-UNCLASSIFIED FELONY,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10029
5,02/25/2016,CRIMINAL TRESPASS,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,10035
2,07/09/2021,OFFENSES AGAINST PUBLIC ADMINI,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10459
1,01/17/2011,FORGERY,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11226
3,12/01/2014,PETIT LARCENY,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE - APT. HOUSE,11215
2,02/12/2018,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,10128
1,07/02/2020,FELONY ASSAULT,COMPLETED,FELONY,BROOKLYN,FRONT OF,RESIDENCE - APT. HOUSE,11212
2,11/25/2011,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10467
0,11/03/2007,ROBBERY,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,11434
1,08/19/2011,MISCELLANEOUS PENAL LAW,COMPLETED,FELONY,BROOKLYN,FRONT OF,RESIDENCE-HOUSE,11221
3,06/22/2014,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE-HOUSE,11234
0,07/23/2018,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,10453
0,06/01/2006,BURGLARY,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,11377
1,01/25/2018,DANGEROUS WEAPONS,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11236
0,06/18/2013,SEX CRIMES,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,11201
1,02/03/2016,DANGEROUS WEAPONS,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10033
1,07/13/2019,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10065
5,06/27/2016,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10018
1,04/12/2017,GRAND LARCENY,ATTEMPTED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10031
1,08/05/2013,BURGLARY,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11413
2,06/30/2015,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,RESIDENCE - APT. HOUSE,10458
1,05/20/2008,BURGLARY,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11225
2,05/16/2015,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11226
5,06/13/2017,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10029
2,07/15/2014,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,11224
4,08/31/2008,HARRASSMENT 2,COMPLETED,VIOLATION,BROOKLYN,FRONT OF,RESIDENCE - APT. HOUSE,11236
3,10/27/2021,PETIT LARCENY,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11233
4,10/06/2021,HARRASSMENT 2,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10452
2,10/25/2013,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10453
5,06/06/2006,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,MANHATTAN,REAR OF,RESIDENCE - PUBLIC HOUSING,10035
2,09/17/2010,ASSAULT 3 & RELATED OFFENSES,ATTEMPTED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,10002
5,01/11/2007,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10002
4,04/06/2015,HARRASSMENT 2,COMPLETED,VIOLATION,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11370
3,12/13/2011,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE - APT. HOUSE,10304
1,04/29/2009,MISCELLANEOUS PENAL LAW,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11421
1,04/25/2019,FELONY ASSAULT,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10040
2,08/25/2016,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,BRONX,OPPOSITE OF,RESIDENCE - PUBLIC HOUSING,10456
2,02/27/2021,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10456
0,12/11/2010,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,QUEENS,REAR OF,RESIDENCE - PUBLIC HOUSING,11101
0,10/09/2015,BURGLARY,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,10314
1,09/01/2017,BURGLARY,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11238
0,06/04/2010,FELONY ASSAULT,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - PUBLIC HOUSING,11693
1,07/15/2009,GRAND LARCENY,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,10312
4,06/15/2019,HARRASSMENT 2,COMPLETED,VIOLATION,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,10027
0,11/04/2013,THEFT-FRAUD,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE-HOUSE,10469
1,12/01/2010,DANGEROUS DRUGS,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10452
1,10/20/2008,BURGLARY,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11206
