Cluster,Unique Key,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,City,Borough
3,32215892,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,10455,BRONX,BRONX
2,39248557,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,11220,BROOKLYN,BROOKLYN
0,34103940,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11203,BROOKLYN,BROOKLYN
0,22944388,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10463,BRONX,BRONX
3,27815801,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10451,BRONX,BRONX
0,23778468,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10025,NEW YORK,MANHATTAN
2,26163588,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11212,BROOKLYN,BROOKLYN
2,41632823,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11203,BROOKLYN,BROOKLYN
0,42293257,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10032,NEW YORK,MANHATTAN
1,28891656,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,11432,Jamaica,QUEENS
0,33413118,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10458,BRONX,BRONX
3,23448842,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10467,BRONX,BRONX
1,28071390,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11429,Queens Village,QUEENS
2,23743240,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,CABINETS,RESIDENTIAL BUILDING,11213,BROOKLYN,BROOKLYN
