Cluster,Unique Key,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,City,Borough
2,24565501,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10473,BRONX,BRONX
1,37375606,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10128,NEW YORK,MANHATTAN
1,23755184,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,RESIDENTIAL BUILDING,11691,FAR ROCKAWAY,QUEENS
3,34850837,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10452,BRONX,BRONX
0,26440348,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10026,NEW YORK,MANHATTAN
0,31078139,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10029,NEW YORK,MANHATTAN
3,26098315,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10452,BRONX,BRONX
3,26052899,Department of Housing Preservation and Development,NONCONST,RUBBISH,RESIDENTIAL BUILDING,10453,BRONX,BRONX
3,35256672,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10463,BRONX,BRONX
1,27113852,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,RESIDENTIAL BUILDING,11432,Jamaica,QUEENS
0,31178152,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10001,NEW YORK,MANHATTAN
3,41251324,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10457,BRONX,BRONX
0,42772986,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10310,STATEN ISLAND,STATEN ISLAND
0,22943993,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10472,BRONX,BRONX
3,30152924,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10472,BRONX,BRONX
0,26273133,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11208,BROOKLYN,BROOKLYN
2,25246131,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10461,BRONX,BRONX
2,37951106,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11233,BROOKLYN,BROOKLYN
2,26757406,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10458,BRONX,BRONX
1,39048620,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11413,Springfield Gardens,QUEENS
1,41606617,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11225,BROOKLYN,BROOKLYN
0,25379976,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,RESIDENTIAL BUILDING,10033,NEW YORK,MANHATTAN
0,40170640,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11432,JAMAICA,QUEENS
