RPT_DT,OFNS_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,zipcode
02/15/2020,PETIT LARCENY,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10466
03/31/2018,HARRASSMENT 2,COMPLETED,VIOLATION,QUEENS,INSIDE,RESIDENCE-HOUSE,11369
05/05/2021,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11221
10/18/2007,PETIT LARCENY,COMPLETED,MISDEMEANOR,BROOKLYN,OPPOSITE OF,RESIDENCE-HOUSE,11219
02/21/2019,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10452
11/23/2021,OFFENSES AGAINST PUBLIC ADMINI,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,10460
08/26/2007,HARRASSMENT 2,COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11236
09/13/2009,HARRASSMENT 2,COMPLETED,VIOLATION,QUEENS,INSIDE,RESIDENCE-HOUSE,11104
07/31/2008,PETIT LARCENY,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10455
04/23/2014,BURGLARY,ATTEMPTED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10474
07/26/2018,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10018
09/13/2010,UNAUTHORIZED USE OF A VEHICLE,COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,RESIDENCE - PUBLIC HOUSING,11367
11/03/2021,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE-HOUSE,10452
11/29/2020,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10031
11/04/2014,OFFENSES AGAINST PUBLIC ADMINI,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10456
07/02/2021,HARRASSMENT 2,COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10027
04/05/2010,OFFENSES AGAINST PUBLIC ADMINI,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,10457
08/06/2007,THEFT-FRAUD,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,11213
04/01/2015,THEFT-FRAUD,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11223
06/09/2010,CRIMINAL TRESPASS,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,11205
04/19/2017,HARRASSMENT 2,COMPLETED,VIOLATION,QUEENS,INSIDE,RESIDENCE - PUBLIC HOUSING,10044
12/12/2012,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10022
07/12/2011,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,10312
07/15/2007,ADMINISTRATIVE CODE,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11229
10/12/2017,SEX CRIMES,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11221
06/03/2016,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,STATEN ISLAND,REAR OF,RESIDENCE - APT. HOUSE,10304
12/30/2018,PETIT LARCENY,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE,10312
07/06/2021,FELONY ASSAULT,COMPLETED,FELONY,STATEN ISLAND,FRONT OF,RESIDENCE - APT. HOUSE,10302
05/13/2007,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE-HOUSE,11413
07/03/2018,HARRASSMENT 2,COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10040
07/21/2006,HARRASSMENT 2,COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10026
06/14/2009,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11221
06/22/2008,HARRASSMENT 2,COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11203
12/22/2020,OFFENSES AGAINST PUBLIC ADMINI,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE-HOUSE,11234
09/25/2018,PETIT LARCENY,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,RESIDENCE - APT. HOUSE,10460
